Name,Cell Line,passage,Drug Treatment,Parent,Holiday,Fixation,Media,Conc of Drug,Treatment (days),Clonal map,AT ID (from Attachments),Results,Status,JIRA,DLP Seq Lib,Link to SV,Sample Name (from Attachments),Library ID(s) (from Attachments),JIRA (from Attachments),Sync with calendar,ATLAS ID (from Sync with calendar),Task (from Sync with calendar),Date (from Sync with calendar),End (from Sync with calendar),Link to ticket (from Sync with calendar),EXP ID (Nanopore)(from Sync with calendar),AT-Barcode (from Sync with calendar),Matched Nanopore samples,#bases (Gb) (from Matched Nanopore samples),# reads (millions) (nanostat) (from Matched Nanopore samples),N50 (nanostat) (from Matched Nanopore samples),Quality (from Matched Nanopore samples),LIBRARY (from Matched Nanopore samples)
HCT-116 BRCA2-/- B18-CX5461-300 nM-+4-3d,HCT-116 BRCA2-/- B18,51,CX5461,,,Fresh,DMEM+FBS,300 nM,1,,AT21473,"https://alhena.molonc.ca/alhena/dashboards/SC-8505
",Done,SC-8252 SC-8253,AT21473 A138902A,HCT116 B18 p51 300nM Cx5461 96hr treatment,HCT116 B18 p51 300nM Cx5461 96hr treatment,"A138902A, A138910A",,,,,,,,,,,,,,,
HCT-116 BRCA2-/- B18-Untreated--d,HCT-116 BRCA2-/- B18,51,Untreated,,,Fresh,DMEM+FBS,,,,10575-CL,https://alhena.molonc.ca/alhena/dashboards/SC-8509,Done, SC-8236 SC-8237,10575-CL A138900B,HCT116 B18 p50,HCT116 B18 p50,"A138900B, A138908B",,,,,,,,,,,,,,,
HCT-116 WT-Untreated--d,HCT-116 WT,50,Untreated,,,Fresh,DMEM+FBS,,,,SA036,https://alhena.molonc.ca/alhena/dashboards/SC-8507,Done,SC-8234 SC-8235,SA036 A138900A,HCT116 Wt p51,HCT116 Wt p51,"A138900A, A138908A",,,,,,,,,,,,,,,
hTERT p53-/- BRCA1-/+ 85.14-Untreated--d,hTERT p53-/- BRCA1-/+ 85.14,10,Untreated,,,Fresh,MEBM defined media,,,,10375-CL,https://alhena.molonc.ca/alhena/dashboards/SC-7471,Done,SC-7384 SC-7385 , 10375-CL A118349B,hTERT 85.14 p10,hTERT 85.14 p10,A118409B,,Nanopore hTERT 85.14 p10,10375-CL A118349B ,Nanopore hTERT 85.14 p10,,,,,,,,,,,
RPE-1 cas9 p53 WT ARID1A -/- #7-Untreated--d,RPE-1 cas9 p53 WT ARID1A -/- #7,4,Untreated,,,Fresh,DMEM+FBS,,,A98207A_hdbscan_cell_cn_tree_heatmap_new.png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/q5vk92-wBCKXTZp7Uzj0WQ/vEN2M-GDb05AlGr5-HPEmdDmacWDC3QvOEnsL6KOegxHzde-qslZgfUPJMiebJcvZbdlNkWeZI-MhAiyR2XFKON8XWLhn1AJo0LFeIt-Royf-muJ1Lgcu8HDKud2EhDakGaTqPsG9cdX77uGyuUWkw/5yaQfqgM2G0pt6mRtUeAvVrROx3VHxAIib45TAaARB0),AT7683,https://alhena.molonc.ca/alhena/dashboards/SC-7436,Done,SC-7209 SC-7210,AT7683 A98207A,RPE1  WT ARID1A KO p9,RPE1  WT ARID1A KO p9,A98222A,,,,,,,,,,,,,,,
RPE-1 cas9 p53 KO ARID1A -/+ #5-Untreated--d,RPE-1 cas9 p53 KO ARID1A -/+ #5,4,Untreated,,,Fresh,DMEM+FBS,,,A98213A_hdbscan_cell_cn_tree_heatmap_new.png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/BFjOx1_D2Bk3AMY-WkuuOg/KJJzIoBkA1Gfn5z3eWSCN1G-LDaTW_DI4hdtMpRgSHAlQF_OQAePbb3AvDNlm4QXyW8j-2ziK0c5uZt4f6zPi-OurpVa1oNYsAPJytkJUHXZrfvjUHY6ig5aQ8Ry-1pJp0GaYlGoMvWHGy9WQQYzmg/hUcx5AN8VoLoCbfopJDqnfjBx0yDUXOlw5tISByDxmg),AT7684,https://alhena.molonc.ca/alhena/dashboards/SC-7438,Done,SC-7211 SC-7212,AT7684 A98213A,RPE1 p53 mut ARID1A KO p9,RPE1 p53 mut ARID1A KO p9,A98222B,,,,,,,,,,,,,,,
RPE-1 cas9 p53 KO-Untreated--d,RPE-1 cas9 p53 KO,9,Untreated,,,Fresh,DMEM+FBS,,,A98200A_hdbscan_cell_cn_tree_heatmap_new.png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/jy7_hV2GwIpyxM2hl4S0hw/z3-bnCTKvSh-TppTgVq7BPbAzWBLIHL0mg_RPX9EXtIzqfaD88Qf3sKqZX7AMToqdWtq_hDyZGlKEwy_jips3av_xn9dvJ0-n7Jzx6KkHLsDKbL9LoLqE_X8AiiAmwkX2ECeJ-BIkfSPlv8c1i1uJw/lnDCC9EKOyrFvH_JlRbOe8VBnp0LzJZAROVlkCfnckA),AT7682,https://alhena.molonc.ca/alhena/dashboards/SC-7319,Done,SC-7207 SC-7208,AT7682 A98200A,RPE1 p53 mut p9,RPE1 p53 mut p9,A98224B,,,,,,,,,,,,,,,
RPE-1 cas9 p53 KO-etoposide-20 µM-6d,RPE-1 cas9 p53 KO,11,etoposide,,,Fresh,DMEM+FBS,20 µM,6,,,,NOT DONE,,,,,,,,,,,,,,,,,,,,
RPE-1 cas9 p53 KO-voreloxin-200 nM-6d,RPE-1 cas9 p53 KO,11,voreloxin,,,Fresh,DMEM+FBS,200 nM,6,A118428A_hdbscan_cell_cn_tree_heatmap_new.png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/8_UujFR_UcqxOWwk8PtxmA/LBhuH0eltS086FuJ9QRbWMozh4LlpAs2sGWuPh2kFol6nYUQvYST4mNxTQYLP_UIWWNwz22p3EMdNs1rDv9a-jwkJz09dNPbCsAKZAxkF8xb2a2HPeDx1N7o4DBVzSWSMb17WGhCSl2ByQaBzm67IQ/zCkwIvR4D_JOVr9Mf4Zt2REbfHPpg4L_bJ2zDR_bYb4),AT9248,https://alhena.molonc.ca/alhena/dashboards/SC-7326,Done,SC-7237 SC-7236,AT9248 A118428A,RPE1 p53 mut 200uM veroloxin,RPE1 p53 mut 200uM veroloxin,A121084A,,,,,,,,,,,,,,,
RPE-1 cas9 p53 WT-Untreated--d,RPE-1 cas9 p53 WT,9,Untreated,,,Fresh,DMEM+FBS,,,A98223B_hdbscan_cell_cn_tree_heatmap_new.png (https://v5.airtableusercontent.com/v1/17/17/1686182400000/CNBzHrUjac_49cKOG0c6nQ/XSkG1WzbWl_Up3WMHFNyyvS30kNMkDVpt3pzPN7kMH7tfcO8CWgd-g00n1ClHyXkvk8bXKOqyWdTVG6TxgrQyGR9DzAcirhCP8BhxpTh67iQzRhixe2RXAe0TAOq2CwE0Ri5X4xgq7ZPeezmUTQ-Lg/5WEczQTx94gRK_8lw5xGsSU0_2KvuhbV1mCPi3UQxIc),AT7681,https://alhena.molonc.ca/alhena/dashboards/SC-7285,Done,SC-7205 SC-7206,AT7681 A98223B,RPE1 WT p9,RPE1 WT p9,A98224A,,,,,,,,,,,,,,,
RPE-1 cas9 p53 WT-etoposide-20 µM-6d,RPE-1 cas9 p53 WT,11,etoposide,,,Fresh,DMEM+FBS,20 µM,6,,AT9257,https://alhena.molonc.ca/alhena/dashboards/SC-8086,Done,SC-7239 SC-7238,AT9257 A98275B,RPE1 WT  20uM etopside,RPE1 WT  20uM etopside,"A98275B, A98213B",,,,,,,,,,,,,,,
